tonggwon	publish_date	section	title	pen	page	series	status
99	1918-11-15	雜俎	任筆錄(其六)	滄海居士	37	131	코퍼스
100	1918-12-18	敎門訂議	百號紀念에 對ᄒᆞᆫ 余의 感想	李敦化	9	44	코퍼스
100	1918-12-18	敎理部	信仰性과 社會性(其二)	夜雷	19	98	코퍼스
100	1918-12-18	雜俎	任筆錄(其八)	滄海居士	63	132	코퍼스
101	1919-01-15	敎門訂議	新年元旦	李敦化	8	45	코퍼스
101	1919-01-15	敎理部	信仰性과 社會性(續)	夜雷	13	99	코퍼스
101	1919-01-15	雜俎	任筆錄	滄海居士	40	133	코퍼스
102	1919-02-15	敎門訂議	將來의 宗敎	李敦化	1	46	코퍼스
102	1919-02-15	敎理部	信仰性과 社會性(其四)	夜雷	11	100	코퍼스
102	1919-02-15	雜俎	蓬萊山(其一)	滄海居士	39	134	코퍼스
103	1919-03-15	敎門訂議	將來의 宗敎(續)	夜雷	1	101	코퍼스
103	1919-03-15	敎理部	我觀東經	李敦化	14	47	코퍼스
103	1919-03-15	雜俎	蓬萊山(其二)	滄海居士	30	135	코퍼스
104	1919-04-15	敎門訂議	默念論	夜雷	1	102	코퍼스
104	1919-04-15	敎理部	心의 世界	滄海居士	16	137	코퍼스
104	1919-04-15	敎理部	靈通說	李敦化	24	48	코퍼스
104	1919-04-15	講演	余의 告白	白頭山人	31	136	코퍼스
105	1919-05-15	敎門訂議	將來의 宗敎(其三)	夜雷	6	103	코퍼스
105	1919-05-15	敎理部	默念論(續)	李敦化	11	49	코퍼스
105	1919-05-15	講演	處世神言	白頭山人	23	138	코퍼스
105	1919-05-15	雜俎	蓬萊山	滄海居士	38	157	코퍼스
106	1919-06-15	敎門訂議	眞實된 信仰生活	李敦化	1	50	코퍼스
106	1919-06-15	敎理部	默念論(續)	夜雷	15	104	코퍼스
106	1919-06-15	講演	最後宗敎의 大性無量光	白頭山人	24	139	코퍼스
106	1919-06-15	雜俎	月尾島의 春色	滄海居士	39	140	코퍼스
107	1919-07-15	敎門訂議	愛의 開放	李敦化	6	51	코퍼스
107	1919-07-15	敎理部	神人의 跡	白頭山人	16	141	코퍼스
107	1919-07-15	講演	處世神言	夜雷	23	105	코퍼스
107	1919-07-15	講演	體的倫理	滄海居士	27	142	코퍼스
108	1919-08-15	敎門訂議	事人如天主義	李敦化	1		미확보
108	1919-08-15	敎理部	三世一貫心法	夜雷	13		미확보
108	1919-08-15	敎理部	略史及敎理	白頭山人	19		미확보
108	1919-08-15	講演	師訓	滄海居士	35		미확보
109	1919-09-15	敎門訂議	自覺ᄒᆞ야써 其根에 歸ᄒᆞ라	李敦化	1	52	코퍼스
109	1919-09-15	敎理部	略史及敎理	白頭山人	13	143	코퍼스
109	1919-09-15	敎理部	自力的敎化	夜雷	17	106	코퍼스
109	1919-09-15	雜俎	北遊半個月	滄海居士	41	144	코퍼스
110	1919-10-15	敎門訂議	今日以後의 宗敎	李敦化	2	53	코퍼스
110	1919-10-15	敎理部	略史及敎理(其三)	白頭山人	12	145	코퍼스
110	1919-10-15	讀者文壇	動物園訪問記	夜雷	37	107	코퍼스
