series,slug,publish_date,tonggwon,section,title,author,page_in_journal,scan_pages,units,transcript,markers,규칙,대장,C,G,미해소,면주,auto_ratio,big_diff_ratio,gemini_empty_units,claude_empty_units,cross_checked,keyword_hits,reading_file
31,31_篤心_1915-06,1915-06-15,59,雜俎,篤心者의 精靈不滅,李敦化,38,3,6,정본,0,0,0,0,0,0,0,,,0,0,0,2,31_篤心_1915-06.reading.정본.md
32,32_人生_1915-08,1915-08-15,61,敎理部,人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함,李敦化,12,7,14,정본,0,0,0,0,0,0,0,,,0,0,0,10,32_人生_1915-08.reading.정본.md
33,33_金剛_1915-09,1915-09-15,62,雜俎,金剛山追憶大神師,李敦化,34,3,6,정본,0,0,0,0,0,0,0,,,1,0,0,0,33_金剛_1915-09.reading.정본.md
34,34_大宇_1915-10,1915-10-15,63,講演,大宇宙之戀愛,李敦化,26,3,6,정본,0,0,0,0,0,0,0,,,0,0,0,0,34_大宇_1915-10.reading.정본.md
35,35_人生_1917-01,1917-01-15,78,敎門訂議,人生과 新年,李敦化,5,3,6,정본,0,0,0,0,0,0,0,,,0,0,0,1,35_人生_1917-01.reading.정본.md
36,36_是我_1917-11,1917-11-15,88,敎理部,是我修養,李敦化,10,3,6,정본,0,0,0,0,0,0,0,,,0,0,0,1,36_是我_1917-11.reading.정본.md
37,37_吾敎_1917-12,1917-12-15,89,敎門訂議,吾敎의 大宗,李敦化,2,7,14,정본,0,0,0,0,0,0,0,,,3,0,0,57,37_吾敎_1917-12.reading.정본.md
38,38_新年_1918-01,1918-01-15,90,敎門訂議,新年과 人生,李敦化,5,3,6,초벌,75,1,18,38,16,1,1,25.3,1.3,1,0,2,12,38_新年_1918-01.reading.미검수.md
39,39_宗敎_1918-02,1918-02-15,91,敎理部,宗敎의 兩側面,李敦化,9,3,6,초벌,77,0,12,54,7,4,0,15.6,5.2,4,0,1,12,39_宗敎_1918-02.reading.미검수.md
40,40_信仰_1918-03,1918-03-15,92,講演,信仰上으로 觀ᄒᆞᆯ 吾人의 努力,李敦化,18,5,10,초벌,260,0,8,176,32,42,2,3.1,16.2,3,0,0,6,40_信仰_1918-03.reading.미검수.md
41,41_兩道_1918-05,1918-05-15,94,敎門訂議,兩道師巡回와 關北敎友,李敦化,8,5,10,초벌,274,6,48,182,23,10,5,19.7,3.6,2,0,0,15,41_兩道_1918-05.reading.미검수.md
42,42_大神_1918-07,1918-07-15,95,敎理部,大神師性靈出世說(其一),李敦化,10,5,10,초벌,324,2,60,203,31,22,6,19.1,6.8,1,0,0,14,42_大神_1918-07.reading.미검수.md
43,43_追悼_1918-09,1918-09-15,97,雜俎,追悼香山文,李敦化,37,3,6,초벌,123,1,13,88,14,6,1,11.4,4.9,2,0,0,1,43_追悼_1918-09.reading.미검수.md
44,44_百號_1918-12,1918-12-18,100,敎門訂議,百號紀念에 對ᄒᆞᆫ 余의 感想,李敦化,9,5,10,초벌,295,2,38,174,51,17,13,13.6,5.8,1,0,0,13,44_百號_1918-12.reading.미검수.md
45,45_新年_1919-01,1919-01-15,101,敎門訂議,新年元旦,李敦化,8,5,5,초벌,140,0,20,101,11,8,0,14.3,5.7,3,0,5,7,45_新年_1919-01.reading.미검수.md
46,46_將來_1919-02,1919-02-15,102,敎門訂議,將來의 宗敎,李敦化,1,6,6,초벌,278,9,33,159,31,36,10,15.1,12.9,2,0,0,69,46_將來_1919-02.reading.미검수.md
47,47_我觀_1919-03,1919-03-15,103,敎理部,我觀東經,李敦化,14,5,5,초벌,149,1,21,96,16,14,1,14.8,9.4,3,0,0,22,47_我觀_1919-03.reading.미검수.md
48,48_靈通_1919-04,1919-04-15,104,敎理部,靈通說,李敦化,24,5,5,초벌,201,9,22,129,19,13,9,15.4,6.5,2,0,0,34,48_靈通_1919-04.reading.미검수.md
49,49_默念_1919-05,1919-05-15,105,敎理部,默念論(續),李敦化,11,7,7,초벌,336,2,44,213,35,37,5,13.7,11.0,1,0,0,2,49_默念_1919-05.reading.미검수.md
50,50_眞實_1919-06,1919-06-15,106,敎門訂議,眞實된 信仰生活,李敦化,1,8,8,초벌,351,5,70,156,34,24,62,21.4,6.8,0,0,0,12,50_眞實_1919-06.reading.미검수.md
51,51_愛開_1919-07,1919-07-15,107,敎門訂議,愛의 開放,李敦化,6,5,5,초벌,70,1,7,37,9,10,6,11.4,14.3,3,0,0,8,51_愛開_1919-07.reading.미검수.md
52,52_自覺_1919-09,1919-09-15,109,敎門訂議,自覺ᄒᆞ야써 其根에 歸ᄒᆞ라,李敦化,1,6,6,초벌,245,2,64,97,12,21,49,26.9,8.6,0,0,0,1,52_自覺_1919-09.reading.미검수.md
53,53_今日_1919-10,1919-10-15,110,敎門訂議,今日以後의 宗敎,李敦化,2,5,5,초벌,23,1,6,10,3,2,1,30.4,8.7,4,0,2,39,53_今日_1919-10.reading.미검수.md
54,54_十月_1919-11,1919-11-15,111,敎門訂議,十月二十八日大祈禱,李敦化,2,5,5,초벌,167,2,18,101,18,23,5,12.0,13.8,1,0,0,7,54_十月_1919-11.reading.미검수.md
55,55_改造_1919-12,1919-12-15,112,敎門訂議,改造와 宗敎,李敦化,4,5,5,초벌,22,0,1,9,1,11,0,4.5,50.0,4,0,0,66,55_改造_1919-12.reading.미검수.md
56,56_天道_1920-01,1920-01-15,113,敎門訂議,天道敎六十一歲花甲庚申을 迎喜,李敦化,7,6,6,초벌,293,4,44,203,24,15,3,16.4,5.1,2,0,1,14,56_天道_1920-01.reading.미검수.md
57,57_天道_1920-02,1920-02-15,114,敎門訂議,天道敎靑年臨時敎理講習會에 就하야,李敦化,1,6,6,초벌,258,14,35,146,26,12,25,19.0,4.7,0,0,0,32,57_天道_1920-02.reading.미검수.md
58,58_庚申_1920-04,1920-04-15,116,,庚申四月五日,李敦化,3,6,6,초벌,260,46,20,159,26,9,0,25.4,3.5,2,0,0,35,58_庚申_1920-04.reading.미검수.md
