series,tonggwon,publish_date,section,title,page_start,pages_held,last_held,next_title,next_page,gap,verdict
56,113,1920-01-15,敎門訂議,天道敎六十一歲花甲庚申을 迎喜,7,6,12,謹迎庚申年,13,1,다음지면필요
57,114,1920-02-15,敎門訂議,天道敎靑年臨時敎理講習會에 就하야,1,6,6,人格과 宗敎的 修養,7,1,다음지면필요
58,116,1920-04-15,,庚申四月五日,3,6,8,庚申四月五日无極大道發生의 原因,8,0,자력확인가능
59,117,1920-05-15,敎門訂議,哲人主義의 將來와 新宗敎의 價値,8,5,12,동경디견(東經大全) 譯,12,0,자력확인가능
60,118,1920-06-15,,自己解放과 人乃天主義,1,8,8,活動期에 立한 天道敎人의 實力如何를 論함,9,1,다음지면필요
61,119,1920-07-15,,自己解放과 人乃天主義(續),1,5,5,活動期에 立한 天道敎人의 實力如何를 論함(續),6,1,다음지면필요
62,120,1920-08-15,,十週年,1,9,9,報君의 十週紀念을 當하야,9,0,자력확인가능
63,121,1920-09-15,,오로지 法門에 依信하라,1,8,8,新時代를 問하노라,9,1,다음지면필요
64,122,1920-10-15,,布德天下는 活誠에 在하니라,7,5,11,먼데셔 구하지 말고 나를 닥그라,12,1,다음지면필요
65,123,1920-11-15,,拘束의 宗敎로부터 自由의 宗敎,1,8,8,十月二十八日을 機會로하야 天下의 聖地인 慶州를 一言하노라,9,1,다음지면필요
66,126,1921-02-15,,布德天下,1,8,8,宗敎性과 國家性을 論하다가 朝鮮宗敎에 及하야,9,1,다음지면필요
67,127,1921-03-15,,同歸一體,1,7,7,宗敎또는 道德이라함은 무엇이냐,8,1,다음지면필요
68,130,1921-06-15,,사람性의 無窮을 論하노라(續),1,5,5,四大誡命과 人乃天,6,1,다음지면필요
69,131,1921-07-15,,新文化는 무엇에 依하야 建設되랴,1,5,5,朝鮮사람으로셔,6,1,다음지면필요
70,136,1921-12-15,,中國 北京의 傳敎室 問題를 둣고 吾敎의 對外 發展을 賀함,12,6,17,"우리의 眞生活은 왼 世界가 모도 宗敎化 되는날, 오직 時代的 宗敎化 되기를",17,0,자력확인가능
71,137,1922-01-15,,新紀元을 劃한 우리敎의 新面目,10,6,15,送舊迎新,16,1,다음지면필요
72,138,1922-02-15,,進化의 側面으로 본 人乃天,8,5,12,우리敎會의 制度改善에 對하야,13,1,다음지면필요
73,139,1922-03-15,,信仰 觀念의 本體,8,8,15,"假飾의 圈套를 벗으소셔, 特히 「誠命」 第四項의 말삼 그대로",16,1,다음지면필요
74,140,1922-04-15,,信仰 觀念의 本體(續),15,6,20,解脫 萬能主義,20,0,자력확인가능
75,141,1922-05-15,,宗教의 六大 要素,10,3,12,信仰 復活策에 對하야,13,1,다음지면필요
76,25,1912-08-15,敎理部,東經大全要旨講解(續),12,3,14,似然非然未知詳然,14,0,자력확인가능
77,27,1912-10-15,敎理部,靈通力이 事實됨을 解明言,11,8,18,大衆本無象神聖作象名,17,-1,초과
78,33,1913-04-15,敎理部,靈性的 生活,8,4,11,遠不求而修我,11,0,자력확인가능
79,96,1918-08-15,敎理部,大神師性靈出世說(其二),14,4,17,東經大全 講解(其二),17,0,자력확인가능
80,97,1918-09-15,敎理部,大神師性靈出世說(其三),16,3,18,硏究部一班,,,다음쪽불명
81,98,1918-10-15,敎理部,大神師性靈出世說(其四),14,4,17,硏究部一班,17,0,자력확인가능
82,99,1918-11-15,敎理部,大神師性靈出世說(其五),16,3,18,鬼神者吾也,19,1,다음지면필요
83,115,1920-03-15,敎門訂議,現代思潮와 事人如天主義,1,7,7,人生의 進化와 大神師의 大革新,8,1,다음지면필요
84,124,1920-12-15,,年齡論,22,7,28,우리의 最後目的은 무엇인가? △宇宙一家의 眞平和로!,28,0,자력확인가능
85,128,1921-04-15,,사람性의 無窮을 論하노라,1,6,6,廣濟蒼生,7,1,다음지면필요
