series,tonggwon,publish_date,title,last_held,next_title,next_page,next_cnts,next_title_nl,how,downloaded
64,122,1920-10-15,布德天下는 活誠에 在하니라,11,먼데셔 구하지 말고 나를 닥그라,12,CNTS-00048051789,天道敎會月報第壹百貳拾貳號 : 먼데셔구하지말고나를닥그라,호수일치,"{'cnts_id': 'CNTS-00048051789', 'status': 'ok', 'n_pages': 3, 'n_bytes': 623261, 'note': ''}"
65,123,1920-11-15,拘束의 宗敎로부터 自由의 宗敎,8,十月二十八日을 機會로하야 天下의 聖地인 慶州를 一言하노라,9,CNTS-00048065428,天道敎會月報第壹百貳十參號 : 十月二十八日을機會로하야 天下의聖地인慶州를一言하노라,호수일치,"{'cnts_id': 'CNTS-00048065428', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1099725, 'note': ''}"
66,126,1921-02-15,布德天下,8,宗敎性과 國家性을 論하다가 朝鮮宗敎에 及하야,9,CNTS-00048037995,天道敎會月報第壹百貳拾六號 : 宗敎性과밋國家性을論하다가朝鮮宗敎에及하야,호수일치,"{'cnts_id': 'CNTS-00048037995', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1130524, 'note': ''}"
67,127,1921-03-15,同歸一體,7,宗敎또는 道德이라함은 무엇이냐,8,,,못찾음,
68,130,1921-06-15,사람性의 無窮을 論하노라(續),5,四大誡命과 人乃天,6,CNTS-00048065478,天道敎會月報第壹百參拾號 : 四大誡命과人乃天,호수일치,"{'cnts_id': 'CNTS-00048065478', 'status': 'ok', 'n_pages': 6, 'n_bytes': 1284716, 'note': ''}"
69,131,1921-07-15,新文化는 무엇에 依하야 建設되랴,5,朝鮮사람으로셔,6,,,못찾음,
71,137,1922-01-15,新紀元을 劃한 우리敎의 新面目,15,送舊迎新,16,,,못찾음,
72,138,1922-02-15,進化의 側面으로 본 人乃天,12,우리敎會의 制度改善에 對하야,13,CNTS-00048051870,天道敎會月報二月號(第壹百參拾八號) : 우리敎會의制度改善에對하야,호수일치,"{'cnts_id': 'CNTS-00048051870', 'status': 'ok', 'n_pages': 8, 'n_bytes': 2007253, 'note': ''}"
73,139,1922-03-15,信仰 觀念의 本體,15,"假飾의 圈套를 벗으소셔, 特히 「誠命」 第四項의 말삼 그대로",16,CNTS-00048038067,天道敎會月報三月號(第壹百參拾九號) : 假飾의圈套를벗으소셔 : 特히「誡命」第四項의말삼그대로,호수일치,"{'cnts_id': 'CNTS-00048038067', 'status': 'ok', 'n_pages': 7, 'n_bytes': 1778357, 'note': ''}"
75,141,1922-05-15,宗教의 六大 要素,12,信仰 復活策에 對하야,13,CNTS-00048051897,天道敎會月報五月號(第壹百四拾壹號) : 信仰復活策에對하야,호수일치,"{'cnts_id': 'CNTS-00048051897', 'status': 'ok', 'n_pages': 8, 'n_bytes': 2106112, 'note': ''}"
82,99,1918-11-15,大神師性靈出世說(其五),18,鬼神者吾也,19,CNTS-00048037737,[天道敎會月報 第九十九號] 敎理部 : 鬼神者吾也,호수일치,"{'cnts_id': 'CNTS-00048037737', 'status': 'ok', 'n_pages': 4, 'n_bytes': 888713, 'note': ''}"
83,115,1920-03-15,現代思潮와 事人如天主義,7,人生의 進化와 大神師의 大革新,8,CNTS-00048051712,天道敎會月報第壹百拾五號 : 敎門訂議 : 人生의進化와大神師의大革新,호수일치,"{'cnts_id': 'CNTS-00048051712', 'status': 'ok', 'n_pages': 4, 'n_bytes': 772490, 'note': ''}"
85,128,1921-04-15,사람性의 無窮을 論하노라,6,廣濟蒼生,7,CNTS-00048038011,天道敎會月報第壹百貳拾八號 : 廣濟蒼生,호수일치,"{'cnts_id': 'CNTS-00048038011', 'status': 'ok', 'n_pages': 7, 'n_bytes': 1624209, 'note': ''}"
86,135,1921-11-15,"우리時代의 創造事業, 目下의 急先務를 提案함",14,天道敎議正會의 第一回 開會에 際하야,15,CNTS-00048065493,天道敎會月報第壹百參拾五號 : 天道敎議正會의第一回開會에際하야,호수일치,"{'cnts_id': 'CNTS-00048065493', 'status': 'ok', 'n_pages': 13, 'n_bytes': 2657919, 'note': ''}"
90,92,1918-03-15,孤灯의 下에셔,36,茶話一撮(漫墨),37,,,못찾음,
91,93,1918-04-15,因襲的主觀에 拘束된 世人의 誤解,7,四大誡命,8,CNTS-00048037678,[天道敎會月報 第九十三號] 敎門訂議 : 四大誡命,호수일치,"{'cnts_id': 'CNTS-00048037678', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1378424, 'note': ''}"
92,94,1918-05-15,京城에셔 永興까지,46,吾人의 大市,47,CNTS-00048078908,[天道敎會月報 第九十四號] 雜爼 : 吾人의大市,호수일치,"{'cnts_id': 'CNTS-00048078908', 'status': 'ok', 'n_pages': 2, 'n_bytes': 554015, 'note': ''}"
93,95,1918-07-15,宗敎的修養과 處世方法(其一),4,今日宗敎家의 責任,5,CNTS-00048037707,[天道敎會月報 第九十五號] 敎門訂議 : 今日宗敎家의責任,호수일치,"{'cnts_id': 'CNTS-00048037707', 'status': 'ok', 'n_pages': 4, 'n_bytes': 899253, 'note': ''}"
94,96,1918-08-15,宗敎的修養과 處世方法(其二),10,侍天主의 哲學上要義,11,CNTS-00048078923,[天道敎會月報 第九十六號] 敎理部 : 侍天主의哲學上要義,호수일치,"{'cnts_id': 'CNTS-00048078923', 'status': 'ok', 'n_pages': 4, 'n_bytes': 927460, 'note': ''}"
98,100,1918-12-18,信仰性과 社會性(其二),23,歸眞의 初程,24,CNTS-00048078970,[天道敎會月報 第壹百號] 敎理部 : 歸眞의初程,호수일치,"{'cnts_id': 'CNTS-00048078970', 'status': 'ok', 'n_pages': 3, 'n_bytes': 630160, 'note': ''}"
99,101,1919-01-15,信仰性과 社會性(續),16,大道의 初步(續),17,,,못찾음,
100,102,1919-02-15,信仰性과 社會性(其四),15,大道의 初步(續),16,,,못찾음,
102,104,1919-04-15,默念論,12,至誠은 感天,13,CNTS-00048051614,[天道敎會月報 第壹百四號] 敎門訂議 : 至誠은感天,호수일치,"{'cnts_id': 'CNTS-00048051614', 'status': 'ok', 'n_pages': 3, 'n_bytes': 723398, 'note': ''}"
103,105,1919-05-15,將來의 宗敎(其三),10,默念論(續),11,CNTS-00048079021,[天道敎會月報 第壹百五號] 敎理部 : 默念論(續),호수일치,"{'cnts_id': 'CNTS-00048079021', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
104,106,1919-06-15,默念論(續),19,知我者라야 知道오 知道者라야 知我,20,CNTS-00048065283,[天道敎會月報 第壹百六號] 敎理部 : 知我者라야知道오知道者라야知我,호수일치,"{'cnts_id': 'CNTS-00048065283', 'status': 'ok', 'n_pages': 2, 'n_bytes': 365219, 'note': ''}"
106,109,1919-09-15,自力的敎化,20,爲道者 先守其心,21,,,못찾음,
107,110,1919-10-15,動物園訪問記,41,어머님씌 엿줌,42,,,못찾음,
108,111,1919-11-15,新信仰,21,나의 본 新宗敎,22,CNTS-00048037862,[天道敎會月報第壹百拾壹號] 講演 : 나의본新宗敎,호수일치,"{'cnts_id': 'CNTS-00048037862', 'status': 'ok', 'n_pages': 3, 'n_bytes': 612751, 'note': ''}"
109,112,1919-12-15,萬事知,23,理想의 力,24,,,못찾음,
111,114,1920-02-15,眞의 人生,18,愛와 眞理,19,CNTS-00048065345,天道敎會月報第壹百拾四號 : 敎理部 : 愛와眞理,호수일치,"{'cnts_id': 'CNTS-00048065345', 'status': 'ok', 'n_pages': 3, 'n_bytes': 555608, 'note': ''}"
112,115,1920-03-15,經傳의 硏究,25,事人如天의 道德,26,CNTS-00048051714,天道敎會月報第壹百拾五號 : 講演 : 事人如天의道德,호수일치,"{'cnts_id': 'CNTS-00048051714', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1010312, 'note': ''}"
113,116,1920-04-15,混沌으로 나와 混沌에 도라가는 人生,41,텬도교셔 번역,42,CNTS-00048051730,天道敎會月報第壹百拾六號 : 텬도교셔 번역,호수일치,"{'cnts_id': 'CNTS-00048051730', 'status': 'ok', 'n_pages': 4, 'n_bytes': 775259, 'note': ''}"
116,120,1920-08-15,本報의 三界,42,무극송,43,CNTS-00048079156,天道敎會月報第壹百貳拾號 : 무극송,호수일치,"{'cnts_id': 'CNTS-00048079156', 'status': 'ok', 'n_pages': 6, 'n_bytes': 934599, 'note': ''}"
117,121,1920-09-15,呪文의 哲學的 意義,19,텬도교셔 번역,20,CNTS-00048079162,天道敎會月報第壹百貳拾壹號 : 텬도교셔번역,호수일치,"{'cnts_id': 'CNTS-00048079162', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
118,123,1920-11-15,實在論으로 觀한 人乃天主義,36,텬사의 본지를 도달하라,37,CNTS-00048051799,天道敎會月報第壹百貳十參號 : 텬사의본지를도달하라,호수일치,"{'cnts_id': 'CNTS-00048051799', 'status': 'ok', 'n_pages': 3, 'n_bytes': 637433, 'note': ''}"
119,128,1921-04-15,質疑者에게 答함,60,나의본바-두어가지,61,CNTS-00048038015,天道敎會月報第壹百貳拾八號 : 나의본바-두어가지,호수일치,"{'cnts_id': 'CNTS-00048038015', 'status': 'ok', 'n_pages': 6, 'n_bytes': 1326675, 'note': ''}"
120,131,1921-07-15,質疑者의게 答함,60,연원문답(淵源問答),61,CNTS-00048038035,天道敎會月報第壹百參拾壹號 : 연원문답 = 淵源問答,호수일치,"{'cnts_id': 'CNTS-00048038035', 'status': 'ok', 'n_pages': 2, 'n_bytes': 425589, 'note': ''}"
125,92,1918-03-15,近ᄒᆞ야 오ᄂᆞᆫ 庚申四月,8,一行解,9,CNTS-00048051484,[天道敎會月報 第九十二號] 敎理部 : 一行觧,호수일치,"{'cnts_id': 'CNTS-00048051484', 'status': 'ok', 'n_pages': 2, 'n_bytes': 572360, 'note': ''}"
128,95,1918-07-15,任筆錄(其三),32,法律經濟(續),33,CNTS-00048037710,[天道敎會月報 第九十五號] 雜爼 : 學術一斑 : 法律經濟(續),호수일치,"{'cnts_id': 'CNTS-00048037710', 'status': 'ok', 'n_pages': 4, 'n_bytes': 844653, 'note': ''}"
129,97,1918-09-15,任筆錄(其五),34,嗚呼香山君,35,CNTS-00048051535,[天道敎會月報 第九十七號] 雜爼 : 嗚呼香山君,호수일치,"{'cnts_id': 'CNTS-00048051535', 'status': 'ok', 'n_pages': 3, 'n_bytes': 634074, 'note': ''}"
136,104,1919-04-15,余의 告白,34,處世三則,35,CNTS-00048037802,[天道敎會月報 第壹百四號] 講演部 : 處世三則,호수일치,"{'cnts_id': 'CNTS-00048037802', 'status': 'ok', 'n_pages': 3, 'n_bytes': 707364, 'note': ''}"
137,104,1919-04-15,心의 世界,20,人生,21,,,못찾음,
138,105,1919-05-15,處世神言,26,養氣法(二),29,CNTS-00048065279,[天道敎會月報 第壹百五號] 講演 : 養氣法. 2,호수일치,"{'cnts_id': 'CNTS-00048065279', 'status': 'ok', 'n_pages': 5, 'n_bytes': 1120692, 'note': ''}"
139,106,1919-06-15,最後宗敎의 大性無量光,28,處世秘訣(其三),29,,,못찾음,
140,106,1919-06-15,月尾島의 春色,43,여러분ᄭᅴ 自白,44,,,못찾음,
141,107,1919-07-15,神人의 跡,22,處世神言,23,CNTS-00048065278,[天道敎會月報苐壹百七號] 講演 : 處世神言,호수일치,"{'cnts_id': 'CNTS-00048065278', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
142,107,1919-07-15,體的倫理,30,我의 天能을 確信ᄒᆞ라,31,CNTS-00048037828,[天道敎會月報苐壹百七號] 講演 : 我의 天能을 確信ᄒᆞ라,호수일치,"{'cnts_id': 'CNTS-00048037828', 'status': 'ok', 'n_pages': 2, 'n_bytes': 459900, 'note': ''}"
143,109,1919-09-15,略史及敎理,16,自力的敎化,17,CNTS-00048037838,[天主敎會月報苐壹百九號] 敎理部 : 自力的敎化,호수일치,"{'cnts_id': 'CNTS-00048037838', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
144,109,1919-09-15,北遊半個月,43,滿足한 一日,44,CNTS-00048065298,[天主敎會月報苐壹百九號] 雜俎 : 滿足한一日,호수일치,"{'cnts_id': 'CNTS-00048065298', 'status': 'ok', 'n_pages': 3, 'n_bytes': 585707, 'note': ''}"
145,110,1919-10-15,略史及敎理(其三),15,覺의 路와 覺의 地,16,CNTS-00048065307,[天主敎會月報苐壹百拾號] 敎理部 : 覺의路와覺의地,호수일치,"{'cnts_id': 'CNTS-00048065307', 'status': 'ok', 'n_pages': 3, 'n_bytes': 590272, 'note': ''}"
146,111,1919-11-15,略史及敎理,14,活動主義의 道德,15,CNTS-00048037861,[天道敎會月報第壹百拾壹號] 敎理部 : 活動主義의 道德,호수일치,"{'cnts_id': 'CNTS-00048037861', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
147,111,1919-11-15,活動主義의 道德,18,新信仰,19,CNTS-00048079064,[天道敎會月報第壹百拾壹號] 敎理部 : 新信仰,호수일치,"{'cnts_id': 'CNTS-00048079064', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
148,112,1919-12-15,略史及敎理,19,萬事知,20,CNTS-00048079075,[天道敎會月報第壹百拾二號] 敎理部 : 萬事知,호수일치,"{'cnts_id': 'CNTS-00048079075', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
149,112,1919-12-15,理想의 力,26,此世의 將來와 宗敎,27,CNTS-00048079076,[天道敎會月報第壹百拾二號] 講硏部 : 此世의將來와宗敎,호수일치,"{'cnts_id': 'CNTS-00048079076', 'status': 'ok', 'n_pages': 2, 'n_bytes': 392640, 'note': ''}"
150,113,1920-01-15,略史及敎理,25,大神師性靈出世之日,26,CNTS-00048065339,天道敎會月報第壹百拾三號 : 敎理 : 大神師性靈出世之日,호수일치,"{'cnts_id': 'CNTS-00048065339', 'status': 'ok', 'n_pages': 2, 'n_bytes': 408551, 'note': ''}"
152,114,1920-02-15,大神師이 法言이 時代의 預言的으로 되야음,29,吾敎의 新思想과 新活動,30,CNTS-00048051701,天道敎會月報第壹百拾四號 : 講硏 : 吾敎의新思想과新活動,호수일치,"{'cnts_id': 'CNTS-00048051701', 'status': 'ok', 'n_pages': 3, 'n_bytes': 607704, 'note': ''}"
153,115,1920-03-15,略史及敎理,22,經傳의 硏究,23,CNTS-00048065355,天道敎會月報第壹百拾五號 : 敎理 : 經傳의硏究,호수일치,"{'cnts_id': 'CNTS-00048065355', 'status': 'skipped', 'n_pages': 0, 'n_bytes': 0, 'note': ''}"
155,121,1920-09-15,問者의게 答함,37,부인여러분께 올림,38,CNTS-00048065411,天道敎會月報第壹百貳拾壹號 : 부인여러분께올님,호수일치,"{'cnts_id': 'CNTS-00048065411', 'status': 'ok', 'n_pages': 6, 'n_bytes': 1256993, 'note': ''}"
156,136,1921-12-15,年齡上 問題,80,天道敎 成川大敎區聖化室記,81,CNTS-00048051860,天道敎會月報第壹百參拾六號 : 天道敎成川大敎區聖化室記,호수일치,"{'cnts_id': 'CNTS-00048051860', 'status': 'ok', 'n_pages': 2, 'n_bytes': 443784, 'note': ''}"
157,105,1919-05-15,蓬萊山,40,人生은 希望的이야,44,CNTS-00048051622,[天道敎會月報 第壹百五號] 雜爼 : 人生은希望的이야,호수일치,"{'cnts_id': 'CNTS-00048051622', 'status': 'ok', 'n_pages': 4, 'n_bytes': 1006554, 'note': ''}"
158,36,1913-07-15,我觀苦樂論,20,兩無相值萬有生,24,,,못찾음,
