term,series,date,title,journal_page,unit,col,char_pos,engine_agreement,context_left,match,context_right,grade,verified
人乃天,44,1918-12-18,百號紀念에 對ᄒᆞᆫ 余의 感想,12,unit_8_p4l,14,1,claude_only,면,人乃天,은곳自力의活動과自力的事業을表示,C단독,
人乃天,44,1918-12-18,百號紀念에 對ᄒᆞᆫ 余의 感想,13,unit_9_p5u,10,16,both,言念이此에及ᄒᆞ면我敬報의將來눈,人乃天,的自力의誠力,합의,
人乃天,132,1918-12-18,任筆錄(其八),65,unit_5_p3u,08,19,both,의宗旨ᄂᆞᆫ다시두말ᄒᆞᆯ것업시,人乃天,이라ᄒᆞᄂᆞ니,합의,
人乃天,132,1918-12-18,任筆錄(其八),65,unit_5_p3u,14,12,both,다그ᄂᆞᆫ무엇이냐ᄒᆞ면,人乃天,이엇지ᄒᆞ야人生問題를,합의,
人乃天,132,1918-12-18,任筆錄(其八),65,unit_5_p3u,16,15,both,시解決ᄒᆞᆯ요잇슬가요、안니라,人乃天,을如何히修養ᄒᆞ여,합의,
人乃天,132,1918-12-18,任筆錄(其八),66,unit_8_p4l,02,14,both,알아두고속히實行ᄒᆞ야보시오,人乃天,의定義가차ᄎᆞ,합의,
人乃天,132,1918-12-18,任筆錄(其八),66,unit_8_p4l,05,9,both,그런디우리月報는이,人乃天,의定義를解釋ᄒᆞ야世上소,합의,
人乃天,133,1919-01-15,任筆錄,42,unit_6_p3l,20,23,both,ᆫ슈年붓허完全ᄒᆞᆫᄉᆞ룸이되야,人乃天,主,합의,
人乃天,101,1919-03-15,將來의 宗敎(續),7,unit_13_p7u,02,8,both,此를歸着케ᄒᆞ면,人乃天,三字를數嶺ᄒᆞ,합의,
人乃天,101,1919-03-15,將來의 宗敎(續),2,unit_4_p2l,04,0,both,,人乃天,主義ᅵ卽自神信仰以外에別로此,합의,
人乃天,101,1919-03-15,將來의 宗敎(續),2,unit_4_p2l,06,15,both,코余의信ᄒᆞᄂᆞᆫ바吾天道敎의,人乃天,主義,합의,
人乃天,50,1919-06-15,眞實된 信仰生活,5,unit_5_p5,28,15,both,ᄒᆞ고但히吾人의信ᄒᆞᄂᆞᆫ바,人乃天,的眞信,합의,
人乃天,50,1919-06-15,眞實된 信仰生活,6,unit_6_p6,04,219,both,로年老를悲ᄒᆞᆷ에由ᄒᆞ야漸次其,人乃天,的自信을弱케ᄒᆞ고ᄂᆞ니年老를悲,합의,
人乃天,50,1919-06-15,眞實된 信仰生活,7,unit_7_p7,18,16,both,要ᄂᆞᆫ오직造次顚沛의間에도常히,人乃天,,합의,
人乃天,50,1919-06-15,眞實된 信仰生活,8,unit_8_p8,13,4,both,後宗敎의,人乃天,信仰이여[next],합의,
人乃天,140,1919-06-15,月尾島의 春色,41,unit_6_p3l,12,7,both,外의일이다大抵,人乃天,主義눈如何ᄒᆞ事實에도發表가,합의,
人乃天,51,1919-07-15,愛의 開放,7,unit_2_p2,,653,gemini_only,ᆫ다ᄒᆞ면如何히ᄒᆞ면吾人은直接,人乃天,의定理를直覺ᄒᆞ며大筌에曰「君子,G단독,
人乃天,51,1919-07-15,愛의 開放,7,unit_2_p2,06,20,both,ᄒᆞ이로다如何히ᄒᆞ면吾人은直接,人乃天,의,합의,
人乃天,106,1919-09-15,自力的敎化,18,unit_4_p2l,,164,gemini_only,最後敎化인저吾人은眞實로大神師의,人乃天,의思想을吟味ᄒᆞᆯ時마다自力의敎,G단독,
人乃天,106,1919-09-15,自力的敎化,20,unit_7_p4u,06,4,both,의觀念은,人乃天,、道의觀念을儒佛仙合一、敎의觀念,합의,
人乃天,53,1919-10-15,今日以後의 宗敎,6,unit_5_p5,02,105,both,ᄂᆞᆫ但히吾敎의精神을一貫ᄒᆞᆫ,人乃天,主義,합의,
人乃天,53,1919-10-15,今日以後의 宗敎,6,unit_5_p5,03,38,both,境涯임으로써云ᄒᆞᆷ이라然ᄒᆞ면,人乃天,은어ᄂᆞ點에서能히最高善의境涯되,합의,
人乃天,53,1919-10-15,今日以後의 宗敎,6,unit_5_p5,04,27,both,福이自己啓發의目標라ᄒᆞ면吾人은,人乃天,主義下에立ᄒᆞᆫ幸福을暫述ᄒᆞ리,합의,
人乃天,53,1919-10-15,今日以後의 宗敎,6,unit_5_p5,05,63,both,門에乞ᄒᆞᆷ과何異ᄒᆞ랴是點에서,人乃天,主義ᄂᆞᆫ自己의無限ᄒᆞᆫ心靈의,합의,
人乃天,53,1919-10-15,今日以後의 宗敎,6,unit_5_p5,07,16,both,自己啓發이平和에在ᄒᆞᆫ다ᄒᆞ면,人乃天,主義ᄂᆞᆫ自己로自天을啓發이先히,합의,
人乃天,53,1919-10-15,今日以後의 宗敎,6,unit_5_p5,10,18,both,啓發이自己實現에在ᄒᆞᆫ다ᄒᆞ면,人乃天,主義ᄂᆞᆫ無形으로神에依치아니ᄒ,합의,
人乃天,53,1919-10-15,今日以後의 宗敎,6,unit_5_p5,12,14,both,自己啓發이生命開發이라ᄒᆞ면,人乃天,主義ᄂᆞᆫ自天을修煉ᄒᆞ야永久無,합의,
人乃天,53,1919-10-15,今日以後의 宗敎,6,unit_5_p5,13,10,both,以上의數條에依ᄒᆞ야,人乃天,은徹頭徹尾ᅵ自己啓發의信仰을背에,합의,
